일자,시도(출발),시군구(출발),읍면동(출발),시도(도착),시군구(도착),읍면동(도착),통행량,통행시간,통행거리
2018-07-01(일),서울특별시,-,-,서울특별시,-,-,3659818,-,-
2018-07-02(월),서울특별시,-,-,서울특별시,-,-,7255711,-,-
2018-07-03(화),서울특별시,-,-,서울특별시,-,-,7753207,-,-
2018-07-04(수),서울특별시,-,-,서울특별시,-,-,7910415,-,-
2018-07-05(목),서울특별시,-,-,서울특별시,-,-,7851928,-,-
2018-07-06(금),서울특별시,-,-,서울특별시,-,-,8260982,-,-
2018-07-07(토),서울특별시,-,-,서울특별시,-,-,6202398,-,-
2018-07-08(일),서울특별시,-,-,서울특별시,-,-,4566642,-,-
2018-07-09(월),서울특별시,-,-,서울특별시,-,-,7464877,-,-
2018-07-10(화),서울특별시,-,-,서울특별시,-,-,7837216,-,-
2018-07-11(수),서울특별시,-,-,서울특별시,-,-,7900173,-,-
2018-07-12(목),서울특별시,-,-,서울특별시,-,-,7921693,-,-
2018-07-13(금),서울특별시,-,-,서울특별시,-,-,8295085,-,-
2018-07-14(토),서울특별시,-,-,서울특별시,-,-,6175090,-,-
2018-07-15(일),서울특별시,-,-,서울특별시,-,-,4565197,-,-
2018-07-16(월),서울특별시,-,-,서울특별시,-,-,7589275,-,-
2018-07-17(화),서울특별시,-,-,서울특별시,-,-,7795136,-,-
2018-07-18(수),서울특별시,-,-,서울특별시,-,-,7864407,-,-
2018-07-19(목),서울특별시,-,-,서울특별시,-,-,7836591,-,-
2018-07-20(금),서울특별시,-,-,서울특별시,-,-,8197615,-,-
2018-07-21(토),서울특별시,-,-,서울특별시,-,-,5868146,-,-
2018-07-22(일),서울특별시,-,-,서울특별시,-,-,4303335,-,-
2018-07-23(월),서울특별시,-,-,서울특별시,-,-,7447737,-,-
2018-07-24(화),서울특별시,-,-,서울특별시,-,-,7514654,-,-
2018-07-25(수),서울특별시,-,-,서울특별시,-,-,7724857,-,-
2018-07-26(목),서울특별시,-,-,서울특별시,-,-,7644091,-,-
2018-07-27(금),서울특별시,-,-,서울특별시,-,-,7884434,-,-
2018-07-28(토),서울특별시,-,-,서울특별시,-,-,5426079,-,-
2018-07-29(일),서울특별시,-,-,서울특별시,-,-,4291934,-,-
2018-07-30(월),서울특별시,-,-,서울특별시,-,-,7204227,-,-
2018-07-31(화),서울특별시,-,-,서울특별시,-,-,7227951,-,-
2018-08-01(수),서울특별시,-,-,서울특별시,-,-,7126977,-,-
2018-08-02(목),서울특별시,-,-,서울특별시,-,-,6973031,-,-
2018-08-03(금),서울특별시,-,-,서울특별시,-,-,7141237,-,-
2018-08-04(토),서울특별시,-,-,서울특별시,-,-,5220812,-,-
2018-08-05(일),서울특별시,-,-,서울특별시,-,-,4144601,-,-
2018-08-06(월),서울특별시,-,-,서울특별시,-,-,6978934,-,-
2018-08-07(화),서울특별시,-,-,서울특별시,-,-,7278980,-,-
2018-08-08(수),서울특별시,-,-,서울특별시,-,-,7410987,-,-
2018-08-09(목),서울특별시,-,-,서울특별시,-,-,7301475,-,-
2018-08-10(금),서울특별시,-,-,서울특별시,-,-,7712591,-,-
2018-08-11(토),서울특별시,-,-,서울특별시,-,-,5687996,-,-
2018-08-12(일),서울특별시,-,-,서울특별시,-,-,4303553,-,-
2018-08-13(월),서울특별시,-,-,서울특별시,-,-,7316663,-,-
2018-08-14(화),서울특별시,-,-,서울특별시,-,-,7665045,-,-
2018-08-15(수),서울특별시,-,-,서울특별시,-,-,4791091,-,-
2018-08-16(목),서울특별시,-,-,서울특별시,-,-,7583335,-,-
2018-08-17(금),서울특별시,-,-,서울특별시,-,-,7914546,-,-
2018-08-18(토),서울특별시,-,-,서울특별시,-,-,5837268,-,-
2018-08-19(일),서울특별시,-,-,서울특별시,-,-,4446447,-,-
2018-08-20(월),서울특별시,-,-,서울특별시,-,-,7536593,-,-
2018-08-21(화),서울특별시,-,-,서울특별시,-,-,7666508,-,-
2018-08-22(수),서울특별시,-,-,서울특별시,-,-,7867820,-,-
2018-08-23(목),서울특별시,-,-,서울특별시,-,-,7177179,-,-
2018-08-24(금),서울특별시,-,-,서울특별시,-,-,7072903,-,-
2018-08-25(토),서울특별시,-,-,서울특별시,-,-,6214847,-,-
2018-08-26(일),서울특별시,-,-,서울특별시,-,-,4423073,-,-
2018-08-27(월),서울특별시,-,-,서울특별시,-,-,7402388,-,-
2018-08-28(화),서울특별시,-,-,서울특별시,-,-,7387794,-,-
2018-08-29(수),서울특별시,-,-,서울특별시,-,-,7439712,-,-
2018-08-30(목),서울특별시,-,-,서울특별시,-,-,7698142,-,-
2018-08-31(금),서울특별시,-,-,서울특별시,-,-,8176602,-,-
